pontid,Latitude,Longitude,Persistenc,SST_Var
1,34.50097131,-120.504742017,0.63508290548,NaN
2,34.4919700406,-120.504364903,0.60034722192,1.63473325609118
3,34.4922817318,-120.493493435,0.56540330425,NaN
4,34.4829687544,-120.503987956,0.43055555667,NaN
5,34.4832803413,-120.493117651,0.56701503485,1.74253146770976
6,34.4835909637,-120.48224718,0.4727777779,NaN
7,34.4742789338,-120.492742034,0.38501291984,1.71279192683001
8,34.4745894523,-120.481872726,0.42901234533,1.68553989828335
9,34.4655879241,-120.481498438,0.36217948896,1.68553989828335
10,34.4704234383,-120.307585884,0.65687426565,NaN
11,34.4707174606,-120.296714987,0.51989256344,1.96387050998359
12,34.4710105182,-120.285843932,0.39617666472,1.9525627020406
13,34.4713026111,-120.27497272,0.5114737383,1.97697233564998
14,34.4715937392,-120.264101353,0.53568953539,1.97697233564998
15,34.4730349068,-120.209742189,0.20849420857,1.91680582636172
16,34.4733202454,-120.198869895,0.264864864,1.94670282494994
17,34.4736046189,-120.187997448,0.44425675688,1.94670282494994
18,34.4741704705,-120.166252099,0.31081081,1.87539931459377
19,34.4744519485,-120.155379197,0.46718146786,1.83667456029527
20,34.4747324613,-120.144506145,0.34860947957,1.86117412012406
21,34.4750120087,-120.133632943,0.36876876867,NaN
22,34.4752905908,-120.122759591,0.40240240111,NaN
23,34.456586379,-120.481124316,0.30154639174,1.67707138320614
24,34.4587315716,-120.405050815,0.3513888885,1.71486874811356
25,34.4590341726,-120.394182518,0.55982706793,1.66267963162754
26,34.4593358096,-120.38331406,0.47283220813,1.66751387988234
27,34.4596364826,-120.372445441,0.52971576302,1.6223240400381
28,34.4599361916,-120.36157666,0.55823095855,1.67369637977099
29,34.4602349365,-120.35070772,0.46920176,1.67369637977099
30,34.4605327173,-120.339838619,0.47792158345,1.68498991987445
31,34.460829534,-120.32896936,0.48971359428,1.76750200804226
32,34.4611253864,-120.318099941,0.5152693297,1.8203422328885
33,34.4614202746,-120.307230365,0.57308144244,1.85218806757537
34,34.4617141984,-120.29636063,0.58089075005,1.88860664384675
35,34.4620071579,-120.285490739,0.28992629015,1.93595426550039
36,34.4622991531,-120.274620691,0.421621624,1.91411115870924
37,34.4628802499,-120.252880127,0.18146718191,2.00840951542361
38,34.4631693516,-120.242009612,0.063063063,1.98548549739505
39,34.4646003902,-120.187654728,0.30583214684,1.94670282494994
40,34.4651660524,-120.165911707,0.15765765875,1.87539931459377
41,34.4660073089,-120.133296044,0.5502350175,1.8792530898162
